"Plot Title: 1 Deb air"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9940160, SEN S/N: 9940160)","RH, % (LGR S/N: 9940160, SEN S/N: 9940160)"
1,07/30/16 06:00:00 PM,9.509,85.665
2,07/30/16 06:10:00 PM,9.287,85.348
3,07/30/16 06:20:00 PM,9.460,87.414
4,07/30/16 06:30:00 PM,9.485,88.829
5,07/30/16 06:40:00 PM,9.485,87.891
6,07/30/16 06:50:00 PM,9.534,86.435
7,07/30/16 07:00:00 PM,9.731,84.127
8,07/30/16 07:10:00 PM,9.928,81.467
9,07/30/16 07:20:00 PM,9.558,79.845
10,07/30/16 07:30:00 PM,9.262,86.763
11,07/30/16 07:40:00 PM,9.163,89.916
12,07/30/16 07:50:00 PM,9.460,89.731
13,07/30/16 08:00:00 PM,9.386,90.539
14,07/30/16 08:10:00 PM,9.312,90.675
15,07/30/16 08:20:00 PM,9.312,88.656
16,07/30/16 08:30:00 PM,8.866,87.922
17,07/30/16 08:40:00 PM,9.114,89.619
18,07/30/16 08:50:00 PM,8.965,92.279
19,07/30/16 09:00:00 PM,9.163,89.605
20,07/30/16 09:10:00 PM,9.064,90.587
21,07/30/16 09:20:00 PM,9.040,89.316
22,07/30/16 09:30:00 PM,8.916,89.388
23,07/30/16 09:40:00 PM,9.213,87.197
24,07/30/16 09:50:00 PM,9.163,83.356
25,07/30/16 10:00:00 PM,8.717,87.521
26,07/30/16 10:10:00 PM,9.657,81.514
27,07/30/16 10:20:00 PM,10.051,71.670
28,07/30/16 10:30:00 PM,10.565,74.679
29,07/30/16 10:40:00 PM,9.534,78.645
30,07/30/16 10:50:00 PM,8.767,84.221
31,07/30/16 11:00:00 PM,9.040,79.190
32,07/30/16 11:10:00 PM,9.952,66.630
33,07/30/16 11:20:00 PM,10.638,64.564
34,07/30/16 11:30:00 PM,9.731,71.270
35,07/30/16 11:40:00 PM,9.952,70.384
36,07/30/16 11:50:00 PM,9.706,69.743
37,07/31/16 12:00:00 AM,8.742,74.804
38,07/31/16 12:10:00 AM,10.051,68.105
39,07/31/16 12:20:00 AM,9.854,68.268
40,07/31/16 12:30:00 AM,10.638,62.150
41,07/31/16 12:40:00 AM,9.854,68.808
42,07/31/16 12:50:00 AM,9.608,67.624
43,07/31/16 01:00:00 AM,9.188,68.456
44,07/31/16 01:10:00 AM,9.854,66.955
45,07/31/16 01:20:00 AM,9.188,70.518
46,07/31/16 01:30:00 AM,9.829,64.104
47,07/31/16 01:40:00 AM,10.418,62.113
48,07/31/16 01:50:00 AM,8.543,69.268
49,07/31/16 02:00:00 AM,9.287,66.108
50,07/31/16 02:10:00 AM,10.247,62.026
51,07/31/16 02:20:00 AM,10.369,61.754
52,07/31/16 02:30:00 AM,10.394,61.378
53,07/31/16 02:40:00 AM,10.467,60.628
54,07/31/16 02:50:00 AM,10.394,60.675
55,07/31/16 03:00:00 AM,10.418,59.856
56,07/31/16 03:10:00 AM,10.541,58.961
57,07/31/16 03:20:00 AM,10.394,60.234
58,07/31/16 03:30:00 AM,10.492,58.835
59,07/31/16 03:40:00 AM,9.903,62.550
60,07/31/16 03:50:00 AM,10.100,61.621
61,07/31/16 04:00:00 AM,9.952,65.049
62,07/31/16 04:10:00 AM,9.780,66.369
63,07/31/16 04:20:00 AM,9.756,65.158
64,07/31/16 04:30:00 AM,9.410,67.388
65,07/31/16 04:40:00 AM,9.509,65.976
66,07/31/16 04:50:00 AM,8.866,70.090
67,07/31/16 05:00:00 AM,8.369,70.444
68,07/31/16 05:10:00 AM,8.618,68.689
69,07/31/16 05:20:00 AM,8.668,71.035
70,07/31/16 05:30:00 AM,8.020,70.601
71,07/31/16 05:40:00 AM,8.419,70.622
72,07/31/16 05:50:00 AM,8.817,70.250
73,07/31/16 06:00:00 AM,8.965,68.697
74,07/31/16 06:10:00 AM,8.568,71.659
75,07/31/16 06:20:00 AM,9.064,69.508
76,07/31/16 06:30:00 AM,8.668,73.544
77,07/31/16 06:40:00 AM,8.020,75.645
78,07/31/16 06:50:00 AM,7.066,76.619
79,07/31/16 07:00:00 AM,7.569,77.732
80,07/31/16 07:10:00 AM,7.469,77.656
81,07/31/16 07:20:00 AM,7.619,77.797
82,07/31/16 07:30:00 AM,7.594,77.629
83,07/31/16 07:40:00 AM,7.720,76.867
84,07/31/16 07:50:00 AM,7.419,78.241
85,07/31/16 08:00:00 AM,8.394,75.118
86,07/31/16 08:10:00 AM,8.916,72.398
87,07/31/16 08:20:00 AM,8.916,73.011
88,07/31/16 08:30:00 AM,8.618,74.613
89,07/31/16 08:40:00 AM,8.593,72.835
90,07/31/16 08:50:00 AM,8.717,71.744
91,07/31/16 09:00:00 AM,9.262,69.828
92,07/31/16 09:10:00 AM,9.558,70.054
93,07/31/16 09:20:00 AM,9.238,71.202
94,07/31/16 09:30:00 AM,8.593,72.501
95,07/31/16 09:40:00 AM,8.841,73.079
96,07/31/16 09:50:00 AM,9.262,70.673
97,07/31/16 10:00:00 AM,9.509,69.988
98,07/31/16 10:10:00 AM,9.361,71.535
99,07/31/16 10:20:00 AM,9.336,73.095
100,07/31/16 10:30:00 AM,8.618,73.617
101,07/31/16 10:40:00 AM,8.369,78.284
102,07/31/16 10:50:00 AM,8.543,79.676
103,07/31/16 11:00:00 AM,8.965,75.512
